Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1u,C_0805_2012Metric,18.1,-42.8,-90.0,top
C104,4.7u,C_0805_2012Metric,-9.1,-37.75,180.0,top
C2,1u,C_0805_2012Metric,14.3,-39.2,0.0,top
C3,1u,C_0805_2012Metric,-9.1,-55.65,0.0,top
C4,1u,C_0805_2012Metric,-10.9,-62.8,180.0,top
C5,0.1u,C_0805_2012Metric,21.55,-61.1,-90.0,top
C6,0.1u,C_0805_2012Metric,-2.1125,-50.1,0.0,top
C7,0.1u,C_0805_2012Metric,-16.1,-61.05,-90.0,top
C8,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-9.1,-53.55,0.0,top
C9,0.1u,C_0805_2012Metric,-21.7,-39.35,0.0,top
R1,10k,R_0805_2012Metric,21.55,-64.65,90.0,top
R101,39,R_0805_2012Metric,8.2,-37.1,90.0,top
R102,10k,R_0805_2012Metric,9.4,-41.1,90.0,top
R2,10k,R_0805_2012Metric,-2.1,-52.4,0.0,top
R3,1k,R_0805_2012Metric,-9.1,-49.5,180.0,top
R4,1k,R_0805_2012Metric,-9.1,-51.55,180.0,top
R5,10k,R_0805_2012Metric,-20.4,-59.9,180.0,top
R6,1k,R_0805_2012Metric,-15.25,-45.4,90.0,top
R7,0R,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,-17.5,-44.7,-90.0,top
R8,100,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,-21.7,-41.4,180.0,top
U1,TCR2EF19,SOT-23-5,14.1875,-42.75,270.0,top
U3,TLV73333PDBV,SOT-23-5,-11.15,-65.6375,180.0,top
U5,TP4056,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,-17.4,-54.78,0.0,top
U6,DW01,SOT-23-6_Handsoldering,-21.7,-44.25,0.0,top
U7,FS8205A,SOT-23-6_Handsoldering,-21.7,-48.0,180.0,top
